user_id,sleep_id,timestamp,light,rem,deep,fall_asleep,awake,device,is_anomalous
1,1_20240101,2024-01-01T21:14:00,16749.0,7475.0,6830.0,3759.0,1162.0,Source_A,False
1,1_20240102,2024-01-02T21:35:00,15886.0,6170.0,5935.0,378.0,2054.0,Source_B,False
1,1_20240103,2024-01-03T22:59:00,9383.0,4800.0,3992.0,2002.0,643.0,Source_F,False
1,1_20240104,2024-01-04T23:58:00,,,,,,Source_F,True
1,1_20240105,2024-01-05T23:50:00,7410.0,3742.0,2957.0,1305.0,885.0,Source_A,False
1,1_20240106,2024-01-06T21:08:00,14633.0,7141.0,3795.0,2021.0,1312.0,Source_A,False
1,1_20240107,2024-01-07T22:52:00,,,,,,Source_B,True
1,1_20240108,2024-01-08T22:05:00,13786.0,5273.0,4654.0,0.0,1537.0,Source_E,False
1,1_20240109,2024-01-09T22:09:00,,,,,,Source_B,True
1,1_20240110,2024-01-10T21:39:00,12531.0,5258.0,4218.0,0.0,1244.0,Source_F,False
1,1_20240111,2024-01-11T21:40:00,10795.0,4008.0,4136.0,0.0,1198.0,Source_B,False
1,1_20240112,2024-01-12T23:10:00,10791.0,5062.0,4251.0,0.0,1417.0,Source_C,False
1,1_20240113,2024-01-13T22:40:00,16368.0,7832.0,7329.0,1252.0,1102.0,Source_A,False
1,1_20240114,2024-01-14T23:23:00,16664.0,8189.0,6493.0,1004.0,1165.0,Source_B,False
1,1_20240115,2024-01-15T22:02:00,16467.0,7333.0,7000.0,2730.0,1094.0,Source_C,False
1,1_20240116,2024-01-16T23:14:00,16054.0,7898.0,4845.0,1776.0,1695.0,Source_B,False
1,1_20240117,2024-01-17T22:36:00,10334.0,4987.0,4184.0,982.0,1487.0,Source_C,False
1,1_20240118,2024-01-18T23:58:00,,,,,,Source_D,True
1,1_20240119,2024-01-19T22:10:00,,,,,,Source_C,True
1,1_20240120,2024-01-20T21:26:00,9543.0,5146.0,4485.0,935.0,1067.0,Source_A,False
1,1_20240121,2024-01-21T21:36:00,13478.0,6906.0,4576.0,1567.0,1418.0,Source_E,False
1,1_20240122,2024-01-22T21:51:00,,,,,,Source_D,True
1,1_20240123,2024-01-23T21:36:00,,,,,,Source_C,True
1,1_20240124,2024-01-24T23:36:00,9408.0,4293.0,4472.0,1078.0,1004.0,Source_E,False
1,1_20240125,2024-01-25T22:31:00,9167.0,4223.0,2669.0,2072.0,1200.0,Source_C,False
1,1_20240126,2024-01-26T21:51:00,10179.0,5029.0,4287.0,1276.0,1406.0,Source_F,False
1,1_20240127,2024-01-27T23:05:00,,,,,,Source_F,True
1,1_20240128,2024-01-28T23:18:00,13398.0,5387.0,5020.0,833.0,1173.0,Source_C,False
1,1_20240129,2024-01-29T22:39:00,9011.0,4530.0,3780.0,827.0,988.0,Source_B,False
1,1_20240130,2024-01-30T22:34:00,15694.0,7477.0,6084.0,202.0,1589.0,Source_D,False
1,1_20240131,2024-01-31T22:00:00,10670.0,4517.0,4490.0,0.0,744.0,Source_F,False
1,1_20240201,2024-02-01T21:34:00,13076.0,5943.0,4917.0,0.0,1485.0,Source_B,False
1,1_20240202,2024-02-02T23:48:00,8990.0,4592.0,4383.0,1295.0,679.0,Source_B,False
1,1_20240203,2024-02-03T23:24:00,14244.0,6150.0,4525.0,2284.0,1369.0,Source_F,False
1,1_20240204,2024-02-04T21:40:00,10544.0,4346.0,3089.0,995.0,1125.0,Source_F,False
1,1_20240205,2024-02-05T23:02:00,,,,,,Source_F,True
1,1_20240206,2024-02-06T22:45:00,17511.0,7133.0,7382.0,0.0,1794.0,Source_F,False
1,1_20240207,2024-02-07T22:20:00,19137.0,8328.0,6939.0,0.0,1398.0,Source_D,False
1,1_20240208,2024-02-08T23:03:00,10462.0,3849.0,3938.0,0.0,929.0,Source_F,False
1,1_20240209,2024-02-09T22:52:00,13656.0,5050.0,4201.0,1065.0,1185.0,Source_B,False
